"DataSet","Rep","Fold","PT","Pos_tst"
"Disease_AL",1,6,6,318
"Disease_AL",1,6,6,325
"Disease_AL",1,6,6,339
"Disease_AL",1,6,6,346
"Disease_AL",1,6,6,355
"Disease_AL",1,6,6,356
"Disease_AL",1,6,6,379
"Disease_AL",1,6,6,381
"Disease_AL",1,6,6,406
"Disease_AL",1,6,6,421
"Disease_AL",1,6,6,427
"Disease_AL",1,6,6,428
"Disease_AL",1,6,6,435
"Disease_AL",1,6,6,436
"Disease_AL",1,7,7,5
"Disease_AL",1,7,7,6
"Disease_AL",1,7,7,10
"Disease_AL",1,7,7,22
"Disease_AL",1,7,7,26
"Disease_AL",1,7,7,47
"Disease_AL",1,7,7,49
"Disease_AL",1,7,7,67
"Disease_AL",1,7,7,71
"Disease_AL",1,7,7,80
"Disease_AL",1,7,7,84
"Disease_AL",1,7,7,104
"Disease_AL",1,7,7,106
"Disease_AL",1,7,7,110
"Disease_AL",1,7,7,121
"Disease_AL",1,7,7,124
"Disease_AL",1,7,7,129
"Disease_AL",1,7,7,133
"Disease_AL",1,7,7,151
"Disease_AL",1,7,7,158
"Disease_AL",1,7,7,171
"Disease_AL",1,7,7,172
"Disease_AL",1,7,7,181
"Disease_AL",1,7,7,190
"Disease_AL",1,7,7,192
"Disease_AL",1,7,7,195
"Disease_AL",1,7,7,201
"Disease_AL",1,7,7,230
"Disease_AL",1,7,7,241
"Disease_AL",1,7,7,251
"Disease_AL",1,7,7,267
"Disease_AL",1,7,7,286
"Disease_AL",1,7,7,288
"Disease_AL",1,7,7,299
"Disease_AL",1,7,7,302
"Disease_AL",1,7,7,312
"Disease_AL",1,7,7,363
"Disease_AL",1,7,7,369
"Disease_AL",1,7,7,398
"Disease_AL",1,7,7,412
"Disease_AL",1,7,7,414
"Disease_AL",1,7,7,422
"Disease_AL",1,7,7,433
"Disease_AL",1,8,8,1
"Disease_AL",1,8,8,8
"Disease_AL",1,8,8,12
"Disease_AL",1,8,8,14
"Disease_AL",1,8,8,27
"Disease_AL",1,8,8,28
"Disease_AL",1,8,8,36
"Disease_AL",1,8,8,65
"Disease_AL",1,8,8,70
"Disease_AL",1,8,8,89
"Disease_AL",1,8,8,91
"Disease_AL",1,8,8,97
"Disease_AL",1,8,8,140
"Disease_AL",1,8,8,162
"Disease_AL",1,8,8,170
"Disease_AL",1,8,8,173
"Disease_AL",1,8,8,180
"Disease_AL",1,8,8,193
"Disease_AL",1,8,8,219
"Disease_AL",1,8,8,229
"Disease_AL",1,8,8,235
"Disease_AL",1,8,8,244
"Disease_AL",1,8,8,245
"Disease_AL",1,8,8,247
"Disease_AL",1,8,8,248
"Disease_AL",1,8,8,263
"Disease_AL",1,8,8,271
"Disease_AL",1,8,8,272
"Disease_AL",1,8,8,273
"Disease_AL",1,8,8,282
"Disease_AL",1,8,8,306
"Disease_AL",1,8,8,313
"Disease_AL",1,8,8,321
"Disease_AL",1,8,8,328
"Disease_AL",1,8,8,330
"Disease_AL",1,8,8,336
"Disease_AL",1,8,8,345
"Disease_AL",1,8,8,348
"Disease_AL",1,8,8,349
"Disease_AL",1,8,8,358
"Disease_AL",1,8,8,374
"Disease_AL",1,8,8,383
"Disease_AL",1,8,8,408
"Disease_AL",1,8,8,418
"Disease_AL",1,9,9,11
"Disease_AL",1,9,9,20
"Disease_AL",1,9,9,24
"Disease_AL",1,9,9,35
"Disease_AL",1,9,9,42
"Disease_AL",1,9,9,45
"Disease_AL",1,9,9,48
"Disease_AL",1,9,9,58
"Disease_AL",1,9,9,62
"Disease_AL",1,9,9,63
"Disease_AL",1,9,9,74
"Disease_AL",1,9,9,82
"Disease_AL",1,9,9,92
"Disease_AL",1,9,9,99
"Disease_AL",1,9,9,114
"Disease_AL",1,9,9,119
"Disease_AL",1,9,9,127
"Disease_AL",1,9,9,142
"Disease_AL",1,9,9,165
"Disease_AL",1,9,9,169
"Disease_AL",1,9,9,179
"Disease_AL",1,9,9,183
"Disease_AL",1,9,9,185
"Disease_AL",1,9,9,220
"Disease_AL",1,9,9,224
"Disease_AL",1,9,9,243
"Disease_AL",1,9,9,249
"Disease_AL",1,9,9,250
"Disease_AL",1,9,9,278
"Disease_AL",1,9,9,285
"Disease_AL",1,9,9,295
"Disease_AL",1,9,9,296
"Disease_AL",1,9,9,308
"Disease_AL",1,9,9,314
"Disease_AL",1,9,9,316
"Disease_AL",1,9,9,322
"Disease_AL",1,9,9,342
"Disease_AL",1,9,9,357
"Disease_AL",1,9,9,371
"Disease_AL",1,9,9,373
"Disease_AL",1,9,9,375
"Disease_AL",1,9,9,382
"Disease_AL",1,9,9,384
"Disease_AL",1,9,9,391
"Disease_AL",1,10,10,4
"Disease_AL",1,10,10,23
"Disease_AL",1,10,10,29
"Disease_AL",1,10,10,32
"Disease_AL",1,10,10,60
"Disease_AL",1,10,10,68
"Disease_AL",1,10,10,87
"Disease_AL",1,10,10,88
"Disease_AL",1,10,10,96
"Disease_AL",1,10,10,100
"Disease_AL",1,10,10,102
"Disease_AL",1,10,10,103
"Disease_AL",1,10,10,128
"Disease_AL",1,10,10,138
"Disease_AL",1,10,10,139
"Disease_AL",1,10,10,144
"Disease_AL",1,10,10,157
"Disease_AL",1,10,10,184
"Disease_AL",1,10,10,197
"Disease_AL",1,10,10,198
"Disease_AL",1,10,10,206
"Disease_AL",1,10,10,225
"Disease_AL",1,10,10,231
"Disease_AL",1,10,10,233
"Disease_AL",1,10,10,234
"Disease_AL",1,10,10,239
"Disease_AL",1,10,10,240
"Disease_AL",1,10,10,252
"Disease_AL",1,10,10,260
"Disease_AL",1,10,10,292
"Disease_AL",1,10,10,303
"Disease_AL",1,10,10,309
"Disease_AL",1,10,10,311
"Disease_AL",1,10,10,331
"Disease_AL",1,10,10,333
"Disease_AL",1,10,10,337
"Disease_AL",1,10,10,341
"Disease_AL",1,10,10,372
"Disease_AL",1,10,10,376
"Disease_AL",1,10,10,390
"Disease_AL",1,10,10,405
"Disease_AL",1,10,10,417
"Disease_AL",1,10,10,420
"Disease_AL",1,10,10,437
"EYT_1_AL",1,1,1,27
"EYT_1_AL",1,1,1,31
"EYT_1_AL",1,1,1,46
"EYT_1_AL",1,1,1,69
"EYT_1_AL",1,1,1,73
"EYT_1_AL",1,1,1,85
"EYT_1_AL",1,1,1,106
"EYT_1_AL",1,1,1,107
"EYT_1_AL",1,1,1,110
"EYT_1_AL",1,1,1,121
"EYT_1_AL",1,1,1,126
"EYT_1_AL",1,1,1,152
"EYT_1_AL",1,1,1,162
"EYT_1_AL",1,1,1,169
"EYT_1_AL",1,1,1,202
"EYT_1_AL",1,1,1,208
"EYT_1_AL",1,1,1,211
"EYT_1_AL",1,1,1,238
"EYT_1_AL",1,1,1,245
"EYT_1_AL",1,1,1,257
"EYT_1_AL",1,1,1,259
"EYT_1_AL",1,1,1,261
"EYT_1_AL",1,1,1,268
"EYT_1_AL",1,1,1,281
"EYT_1_AL",1,1,1,288
"EYT_1_AL",1,1,1,314
"EYT_1_AL",1,1,1,325
"EYT_1_AL",1,1,1,342
"EYT_1_AL",1,1,1,347
"EYT_1_AL",1,1,1,354
"EYT_1_AL",1,1,1,355
"EYT_1_AL",1,1,1,375
"EYT_1_AL",1,1,1,376
"EYT_1_AL",1,1,1,379
"EYT_1_AL",1,1,1,389
"EYT_1_AL",1,1,1,409
"EYT_1_AL",1,1,1,412
"EYT_1_AL",1,1,1,430
"EYT_1_AL",1,1,1,446
"EYT_1_AL",1,1,1,457
"EYT_1_AL",1,1,1,466
"EYT_1_AL",1,1,1,470
"EYT_1_AL",1,1,1,473
"EYT_1_AL",1,1,1,485
"EYT_1_AL",1,1,1,490
"EYT_1_AL",1,1,1,491
"EYT_1_AL",1,1,1,492
"EYT_1_AL",1,1,1,494
"EYT_1_AL",1,1,1,497
"EYT_1_AL",1,1,1,505
"EYT_1_AL",1,1,1,514
"EYT_1_AL",1,1,1,529
"EYT_1_AL",1,1,1,544
"EYT_1_AL",1,1,1,552
"EYT_1_AL",1,1,1,558
"EYT_1_AL",1,1,1,564
"EYT_1_AL",1,1,1,603
"EYT_1_AL",1,1,1,627
"EYT_1_AL",1,1,1,631
"EYT_1_AL",1,1,1,634
"EYT_1_AL",1,1,1,649
"EYT_1_AL",1,1,1,651
"EYT_1_AL",1,1,1,653
"EYT_1_AL",1,1,1,657
"EYT_1_AL",1,1,1,663
"EYT_1_AL",1,1,1,669
"EYT_1_AL",1,1,1,681
"EYT_1_AL",1,1,1,692
"EYT_1_AL",1,1,1,701
"EYT_1_AL",1,1,1,702
"EYT_1_AL",1,1,1,703
"EYT_1_AL",1,1,1,706
"EYT_1_AL",1,1,1,729
"EYT_1_AL",1,1,1,735
"EYT_1_AL",1,1,1,737
"EYT_1_AL",1,1,1,738
"EYT_1_AL",1,1,1,756
"EYT_1_AL",1,2,2,26
"EYT_1_AL",1,2,2,37
"EYT_1_AL",1,2,2,71
"EYT_1_AL",1,2,2,77
"EYT_1_AL",1,2,2,78
"EYT_1_AL",1,2,2,79
"EYT_1_AL",1,2,2,93
"EYT_1_AL",1,2,2,102
"EYT_1_AL",1,2,2,136
"EYT_1_AL",1,2,2,147
"EYT_1_AL",1,2,2,150
"EYT_1_AL",1,2,2,155
"EYT_1_AL",1,2,2,164
"EYT_1_AL",1,2,2,165
"EYT_1_AL",1,2,2,166
"EYT_1_AL",1,2,2,175
"EYT_1_AL",1,2,2,181
"EYT_1_AL",1,2,2,205
"EYT_1_AL",1,2,2,212
"EYT_1_AL",1,2,2,220
"EYT_1_AL",1,2,2,233
"EYT_1_AL",1,2,2,240
"EYT_1_AL",1,2,2,242
"EYT_1_AL",1,2,2,244
"EYT_1_AL",1,2,2,248
"EYT_1_AL",1,2,2,275
"EYT_1_AL",1,2,2,276
"EYT_1_AL",1,2,2,292
"EYT_1_AL",1,2,2,297
"EYT_1_AL",1,2,2,300
"EYT_1_AL",1,2,2,301
"EYT_1_AL",1,2,2,322
"EYT_1_AL",1,2,2,330
"EYT_1_AL",1,2,2,337
"EYT_1_AL",1,2,2,350
"EYT_1_AL",1,2,2,360
"EYT_1_AL",1,2,2,397
"EYT_1_AL",1,2,2,398
"EYT_1_AL",1,2,2,413
"EYT_1_AL",1,2,2,417
"EYT_1_AL",1,2,2,419
"EYT_1_AL",1,2,2,421
"EYT_1_AL",1,2,2,437
"EYT_1_AL",1,2,2,449
"EYT_1_AL",1,2,2,463
"EYT_1_AL",1,2,2,464
"EYT_1_AL",1,2,2,467
"EYT_1_AL",1,2,2,474
"EYT_1_AL",1,2,2,495
"EYT_1_AL",1,2,2,531
"EYT_1_AL",1,2,2,542
"EYT_1_AL",1,2,2,555
"EYT_1_AL",1,2,2,574
"EYT_1_AL",1,2,2,575
"EYT_1_AL",1,2,2,578
"EYT_1_AL",1,2,2,589
"EYT_1_AL",1,2,2,606
"EYT_1_AL",1,2,2,609
"EYT_1_AL",1,2,2,621
"EYT_1_AL",1,2,2,637
"EYT_1_AL",1,2,2,638
"EYT_1_AL",1,2,2,642
"EYT_1_AL",1,2,2,643
"EYT_1_AL",1,2,2,647
"EYT_1_AL",1,2,2,648
"EYT_1_AL",1,2,2,650
"EYT_1_AL",1,2,2,656
"EYT_1_AL",1,2,2,659
"EYT_1_AL",1,2,2,685
"EYT_1_AL",1,2,2,696
"EYT_1_AL",1,2,2,704
"EYT_1_AL",1,2,2,709
"EYT_1_AL",1,2,2,722
"EYT_1_AL",1,2,2,741
"EYT_1_AL",1,2,2,746
"EYT_1_AL",1,2,2,750
"EYT_1_AL",1,2,2,758
"EYT_1_AL",1,3,3,6
"EYT_1_AL",1,3,3,49
"EYT_1_AL",1,3,3,59
"EYT_1_AL",1,3,3,67
"EYT_1_AL",1,3,3,89
"EYT_1_AL",1,3,3,91
"EYT_1_AL",1,3,3,99
"EYT_1_AL",1,3,3,103
"EYT_1_AL",1,3,3,104
"EYT_1_AL",1,3,3,125
"EYT_1_AL",1,3,3,129
"EYT_1_AL",1,3,3,139
"EYT_1_AL",1,3,3,145
"EYT_1_AL",1,3,3,159
"EYT_1_AL",1,3,3,179
"EYT_1_AL",1,3,3,182
"EYT_1_AL",1,3,3,185
"EYT_1_AL",1,3,3,196
"EYT_1_AL",1,3,3,215
"EYT_1_AL",1,3,3,216
"EYT_1_AL",1,3,3,243
"EYT_1_AL",1,3,3,247
"EYT_1_AL",1,3,3,253
"EYT_1_AL",1,3,3,282
"EYT_1_AL",1,3,3,290
"EYT_1_AL",1,3,3,294
"EYT_1_AL",1,3,3,306
"EYT_1_AL",1,3,3,307
"EYT_1_AL",1,3,3,310
"EYT_1_AL",1,3,3,311
"EYT_1_AL",1,3,3,324
"EYT_1_AL",1,3,3,332
"EYT_1_AL",1,3,3,340
"EYT_1_AL",1,3,3,356
"EYT_1_AL",1,3,3,357
"EYT_1_AL",1,3,3,373
"EYT_1_AL",1,3,3,380
"EYT_1_AL",1,3,3,388
"EYT_1_AL",1,3,3,404
"EYT_1_AL",1,3,3,410
"EYT_1_AL",1,3,3,422
"EYT_1_AL",1,3,3,424
"EYT_1_AL",1,3,3,427
"EYT_1_AL",1,3,3,435
"EYT_1_AL",1,3,3,440
"EYT_1_AL",1,3,3,441
"EYT_1_AL",1,3,3,443
"EYT_1_AL",1,3,3,445
"EYT_1_AL",1,3,3,456
"EYT_1_AL",1,3,3,482
"EYT_1_AL",1,3,3,500
"EYT_1_AL",1,3,3,506
"EYT_1_AL",1,3,3,507
"EYT_1_AL",1,3,3,509
"EYT_1_AL",1,3,3,510
"EYT_1_AL",1,3,3,512
"EYT_1_AL",1,3,3,520
"EYT_1_AL",1,3,3,525
"EYT_1_AL",1,3,3,541
"EYT_1_AL",1,3,3,615
"EYT_1_AL",1,3,3,623
"EYT_1_AL",1,3,3,640
"EYT_1_AL",1,3,3,644
"EYT_1_AL",1,3,3,661
"EYT_1_AL",1,3,3,665
"EYT_1_AL",1,3,3,668
"EYT_1_AL",1,3,3,682
"EYT_1_AL",1,3,3,683
"EYT_1_AL",1,3,3,697
"EYT_1_AL",1,3,3,705
"EYT_1_AL",1,3,3,707
"EYT_1_AL",1,3,3,715
"EYT_1_AL",1,3,3,721
"EYT_1_AL",1,3,3,730
"EYT_1_AL",1,3,3,742
"EYT_1_AL",1,3,3,761
"EYT_1_AL",1,4,4,4
"EYT_1_AL",1,4,4,8
"EYT_1_AL",1,4,4,18
"EYT_1_AL",1,4,4,19
"EYT_1_AL",1,4,4,28
"EYT_1_AL",1,4,4,41
"EYT_1_AL",1,4,4,43
"EYT_1_AL",1,4,4,75
"EYT_1_AL",1,4,4,97
"EYT_1_AL",1,4,4,98
"EYT_1_AL",1,4,4,133
"EYT_1_AL",1,4,4,151
"EYT_1_AL",1,4,4,167
"EYT_1_AL",1,4,4,168
"EYT_1_AL",1,4,4,172
"EYT_1_AL",1,4,4,173
"EYT_1_AL",1,4,4,188
"EYT_1_AL",1,4,4,194
"EYT_1_AL",1,4,4,206
"EYT_1_AL",1,4,4,217
"EYT_1_AL",1,4,4,226
"EYT_1_AL",1,4,4,229
"EYT_1_AL",1,4,4,232
"EYT_1_AL",1,4,4,236
"EYT_1_AL",1,4,4,241
"EYT_1_AL",1,4,4,251
"EYT_1_AL",1,4,4,254
"EYT_1_AL",1,4,4,260
"EYT_1_AL",1,4,4,272
"EYT_1_AL",1,4,4,283
"EYT_1_AL",1,4,4,286
"EYT_1_AL",1,4,4,291
"EYT_1_AL",1,4,4,293
"EYT_1_AL",1,4,4,296
"EYT_1_AL",1,4,4,304
"EYT_1_AL",1,4,4,309
"EYT_1_AL",1,4,4,320
"EYT_1_AL",1,4,4,321
"EYT_1_AL",1,4,4,334
"EYT_1_AL",1,4,4,338
"EYT_1_AL",1,4,4,339
"EYT_1_AL",1,4,4,352
"EYT_1_AL",1,4,4,374
"EYT_1_AL",1,4,4,396
"EYT_1_AL",1,4,4,400
"EYT_1_AL",1,4,4,408
"EYT_1_AL",1,4,4,418
"EYT_1_AL",1,4,4,431
"EYT_1_AL",1,4,4,433
"EYT_1_AL",1,4,4,448
"EYT_1_AL",1,4,4,460
"EYT_1_AL",1,4,4,511
"EYT_1_AL",1,4,4,513
"EYT_1_AL",1,4,4,515
"EYT_1_AL",1,4,4,518
"EYT_1_AL",1,4,4,524
"EYT_1_AL",1,4,4,528
"EYT_1_AL",1,4,4,547
"EYT_1_AL",1,4,4,565
"EYT_1_AL",1,4,4,572
"EYT_1_AL",1,4,4,576
"EYT_1_AL",1,4,4,582
"EYT_1_AL",1,4,4,587
"EYT_1_AL",1,4,4,590
"EYT_1_AL",1,4,4,598
"EYT_1_AL",1,4,4,607
"EYT_1_AL",1,4,4,608
"EYT_1_AL",1,4,4,629
"EYT_1_AL",1,4,4,636
"EYT_1_AL",1,4,4,679
"EYT_1_AL",1,4,4,710
"EYT_1_AL",1,4,4,718
"EYT_1_AL",1,4,4,726
"EYT_1_AL",1,4,4,727
"EYT_1_AL",1,4,4,743
"EYT_1_AL",1,4,4,748
"EYT_1_AL",1,4,4,766
"EYT_1_AL",1,5,5,5
"EYT_1_AL",1,5,5,7
"EYT_1_AL",1,5,5,15
"EYT_1_AL",1,5,5,32
"EYT_1_AL",1,5,5,36
"EYT_1_AL",1,5,5,51
"EYT_1_AL",1,5,5,62
"EYT_1_AL",1,5,5,65
"EYT_1_AL",1,5,5,68
"EYT_1_AL",1,5,5,70
"EYT_1_AL",1,5,5,81
"EYT_1_AL",1,5,5,94
"EYT_1_AL",1,5,5,154
"EYT_1_AL",1,5,5,156
"EYT_1_AL",1,5,5,158
"EYT_1_AL",1,5,5,161
"EYT_1_AL",1,5,5,178
"EYT_1_AL",1,5,5,189
"EYT_1_AL",1,5,5,197
"EYT_1_AL",1,5,5,203
"EYT_1_AL",1,5,5,258
"EYT_1_AL",1,5,5,265
"EYT_1_AL",1,5,5,266
"EYT_1_AL",1,5,5,267
"EYT_1_AL",1,5,5,271
"EYT_1_AL",1,5,5,305
"EYT_1_AL",1,5,5,312
"EYT_1_AL",1,5,5,315
"EYT_1_AL",1,5,5,316
"EYT_1_AL",1,5,5,323
"EYT_1_AL",1,5,5,326
"EYT_1_AL",1,5,5,327
"EYT_1_AL",1,5,5,331
"EYT_1_AL",1,5,5,348
"EYT_1_AL",1,5,5,361
"EYT_1_AL",1,5,5,369
"EYT_1_AL",1,5,5,394
"EYT_1_AL",1,5,5,414
"EYT_1_AL",1,5,5,416
"EYT_1_AL",1,5,5,436
"EYT_1_AL",1,5,5,442
"EYT_1_AL",1,5,5,450
"EYT_1_AL",1,5,5,459
"EYT_1_AL",1,5,5,469
"EYT_1_AL",1,5,5,472
"EYT_1_AL",1,5,5,478
"EYT_1_AL",1,5,5,481
"EYT_1_AL",1,5,5,489
"EYT_1_AL",1,5,5,501
"EYT_1_AL",1,5,5,522
"EYT_1_AL",1,5,5,523
"EYT_1_AL",1,5,5,527
"EYT_1_AL",1,5,5,530
"EYT_1_AL",1,5,5,534
"EYT_1_AL",1,5,5,538
"EYT_1_AL",1,5,5,568
"EYT_1_AL",1,5,5,592
"EYT_1_AL",1,5,5,593
"EYT_1_AL",1,5,5,597
"EYT_1_AL",1,5,5,599
"EYT_1_AL",1,5,5,616
"EYT_1_AL",1,5,5,617
"EYT_1_AL",1,5,5,622
"EYT_1_AL",1,5,5,628
"EYT_1_AL",1,5,5,658
"EYT_1_AL",1,5,5,664
"EYT_1_AL",1,5,5,667
"EYT_1_AL",1,5,5,672
"EYT_1_AL",1,5,5,674
"EYT_1_AL",1,5,5,686
"EYT_1_AL",1,5,5,699
"EYT_1_AL",1,5,5,711
"EYT_1_AL",1,5,5,712
"EYT_1_AL",1,5,5,713
"EYT_1_AL",1,5,5,739
"EYT_1_AL",1,5,5,752
"EYT_1_AL",1,6,6,2
"EYT_1_AL",1,6,6,3
